y	m	d	Mondovi_Simn	Mondovi_arpa
1995	11	22	0	0
1995	11	23	0	0
1995	11	24	0	0
1995	11	25	0	0
1995	11	26	3	1.4
1995	11	27	3.8	3.4
1995	11	28	7.2	6.4
1995	11	29	0	0
1995	11	30	0	0
1995	12	1	0	0
1995	12	2	0	0
1995	12	3	0	0
1995	12	4	0	0
1995	12	5	0	0
1995	12	6	0	0
1995	12	7	0	0
1995	12	8	1.2	0
1995	12	9	0	0
1995	12	10	0	0
1995	12	11	0	0
1995	12	12	0	0
1995	12	13	1.2	0
1995	12	14	2.6	1
1995	12	15	8.8	6.4
1995	12	16	16.6	8.8
1995	12	17	16.2	9.4
1995	12	18	2.6	1.6
1995	12	19	0	0
1995	12	20	0	0
1995	12	21	0	0
1995	12	22	0.2	0
1995	12	23	1	1.2
1995	12	24	0.6	0
1995	12	25	0	0
1995	12	26	0	0
1995	12	27	0	0
1995	12	28	1	0.6
1995	12	29	0	0
1995	12	30	0	0
1995	12	31	4.8	3.6
1996	1	1	0.4	0
1996	1	2	0	0
1996	1	3	0	0
1996	1	4	0	0
1996	1	5	0	0
1996	1	6	9	6.2
1996	1	7	3.8	2.4
1996	1	8	1.2	0.6
1996	1	9	0	0
1996	1	10	15.2	10.8
1996	1	11	31.8	24.6
1996	1	12	36	24.2
1996	1	13	17.8	13.4
1996	1	14	1.4	1
1996	1	15	0	0
1996	1	16	0	0
1996	1	17	0	0
1996	1	18	0	0
1996	1	19	0	0
1996	1	20	0	0
1996	1	21	0	0
1996	1	22	0	0
1996	1	23	9.6	5.4
1996	1	24	15.4	11.6
1996	1	25	0.8	0
1996	1	26	11.6	9.4
1996	1	27	0	0
1996	1	28	0	0
1996	1	29	9.6	5.2
1996	1	30	6.6	3.8
1996	1	31	0	0
1996	2	1	0.4	0
1996	2	2	8.4	4.8
1996	2	3	3	1.2
1996	2	4	0	0
1996	2	5	13.8	3.4
1996	2	6	1	1.2
1996	2	7	2.4	0.8
1996	2	8	0.8	0.4
1996	2	9	0	0
1996	2	10	0	0
1996	2	11	0	0
1996	2	12	0	0
1996	2	13	0	0
1996	2	14	0	0
1996	2	15	0	0
1996	2	16	0	0
1996	2	17	0	0
1996	2	18	0	0
1996	2	19	0	0
1996	2	20	0	0
1996	2	21	14.8	8.6
1996	2	22	10.2	7.4
1996	2	23	0	0
1996	2	24	0	0
1996	2	25	0	0
1996	2	26	0	0
1996	2	27	10.2	6.4
1996	2	28	0.8	0.4
1996	2	29	0	0
1996	3	1	0	0
1996	3	2	0	0
1996	3	3	0	0
1996	3	4	0	0
1996	3	5	0	0
1996	3	6	0	0
1996	3	7	2.6	1.2
1996	3	8	8.2	4.8
1996	3	9	1	0.6
1996	3	10	0	0
1996	3	11	0	0
1996	3	12	0	0
1996	3	13	0	0
1996	3	14	0	0
1996	3	15	13	7
1996	3	16	16.6	10.4
1996	3	17	23.4	18.2
1996	3	18	1.2	0.8
1996	3	19	0	0
1996	3	20	0	0
1996	3	21	0	0
1996	3	22	0	0
1996	3	23	0	0
1996	3	24	0	0
1996	3	25	0	0
1996	3	26	0	0
1996	3	27	0.2	0
1996	3	28	29	25.8
1996	3	29	0.8	0.6
1996	3	30	0	0
1996	3	31	0	0
1996	4	1	0	0
1996	4	2	10	8.2
1996	4	3	31.2	27.2
1996	4	4	17.2	9.4
1996	4	5	0	0
1996	4	6	0	0
1996	4	7	0	0
1996	4	8	0	0
1996	4	9	4	3.4
1996	4	10	0	0
1996	4	11	0	0
1996	4	12	0	0
1996	4	13	0	0
1996	4	14	6.4	6.8
1996	4	15	0.2	0
1996	4	16	0	0
1996	4	17	0	0
1996	4	18	0	0
1996	4	19	0	0
1996	4	20	0	0
1996	4	21	0	0
1996	4	22	0	0
1996	4	23	5.8	5.8
1996	4	24	16.6	15
1996	4	25	0	0
1996	4	26	27.8	25.6
1996	4	27	63.8	60.8
1996	4	28	40.4	31.6
1996	4	29	0	0.2
1996	4	30	0	0.2
1996	5	1	0	0
1996	5	2	9.8	8.8
1996	5	3	0	0
1996	5	4	0	0
1996	5	5	0	0
1996	5	6	0	0
1996	5	7	0	0
1996	5	8	2.6	2.4
1996	5	9	0.2	0.2
1996	5	10	1.8	1.8
1996	5	11	1.8	1.6
1996	5	12	7.2	6.4
1996	5	13	10.4	9.6
1996	5	14	0	0.4
1996	5	15	0	0
1996	5	16	0	0
1996	5	17	0	0
1996	5	18	0	0
1996	5	19	0	0
1996	5	20	0.6	0.4
1996	5	21	0	0
1996	5	22	1.2	1.4
1996	5	23	0	0
1996	5	24	0	0
1996	5	25	0	0
1996	5	26	0	0
1996	5	27	0	0
1996	5	28	0	0
1996	5	29	0	0
1996	5	30	0	0
1996	5	31	0	0
1996	6	1	0	0
1996	6	2	0	0
1996	6	3	1.2	7.4
1996	6	4	6.4	11.4
1996	6	5	0	0
1996	6	6	NA	0
1996	6	7	NA	0
1996	6	8	NA	0
1996	6	9	NA	0
1996	6	10	NA	0
1996	6	11	NA	0
1996	6	12	NA	0
1996	6	13	NA	0
1996	6	14	NA	2.8
1996	6	15	NA	0.8
1996	6	16	NA	0
1996	6	17	NA	20.4
1996	6	18	NA	0
1996	6	19	NA	0
1996	6	20	NA	0
1996	6	21	NA	5.2
1996	6	22	NA	4
1996	6	23	NA	0.2
1996	6	24	NA	0.2
1996	6	25	0	18.2
1996	6	26	0.2	0.8
1996	6	27	0	0.8
1996	6	28	0.2	0
1996	6	29	0.6	0
1996	6	30	2.2	0
1996	7	1	1.4	0
1996	7	2	0	0.6
1996	7	3	0	6.6
1996	7	4	0	0
1996	7	5	1.8	0
1996	7	6	0.4	2
1996	7	7	1.4	0
1996	7	8	0.4	2.2
1996	7	9	0.6	0
1996	7	10	0.2	0
1996	7	11	0.2	0
1996	7	12	0	0
1996	7	13	0.8	6.2
1996	7	14	1.6	0.2
1996	7	15	1.4	0
1996	7	16	0.4	0
1996	7	17	1	2.2
